task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count
algotune/algotune-delaunay,algotune,algotune-delaunay,25,1,0.038461538461538464,0.28552798116664635,0.15010676886181987,0.0,0.4192919985596951,0.28842082305626565,-0.5215046795601872,1.0665075762099003,0.18064203460630837,hard,0,0
algotune/algotune-dijkstra-from-indices,algotune,algotune-dijkstra-from-indices,16,10,0.38461538461538464,0.02019101165131447,0.07819945186862085,0.0,0.3230561864210315,0.012425237939270443,0.1588916244597915,0.7944581222989574,0.38904585783360635,frontier,0,0
algotune/algotune-discrete-log,algotune,algotune-discrete-log,25,1,0.038461538461538464,0.14681368158750419,0.26862453242290374,0.0,0.9070153915637088,0.14287270644111733,0.9718846527629691,2.6056244660359487,-0.2915854044697418,hard,0,0
algotune/algotune-dst-type-ii-scipy-fftpack,algotune,algotune-dst-type-ii-scipy-fftpack,25,1,0.038461538461538464,0.35731037255071985,0.3094127999063657,0.0,0.7295653256173427,0.36369992056739053,-0.23642563078286014,0.45154434244088787,0.4514248423778142,medium,0,0
algotune/algotune-dynamic-assortment-planning,algotune,algotune-dynamic-assortment-planning,25,1,0.038461538461538464,0.6755047468036385,0.2556472426164809,0.0,0.8429750367061262,0.6793041968206228,-1.0306162273423998,2.727747501761916,0.6362941399778995,medium,0,0
algotune/algotune-earth-movers-distance,algotune,algotune-earth-movers-distance,25,1,0.038461538461538464,0.0001639855713255,0.0008033619498525029,0.0,0.0040996392831375,0.00015767843396682693,0.19627321656916494,0.9813660828458245,-0.15932105121081078,frontier,0,0
algotune/algotune-edge-expansion,algotune,algotune-edge-expansion,25,1,0.038461538461538464,0.3025223394145642,0.3480312417652621,0.0,0.7661473563394905,0.29088686482169634,0.40501575793859185,0.4820253223266463,0.3527969853855172,hard,0,0
algotune/algotune-eigenvalues-complex,algotune,algotune-eigenvalues-complex,17,9,0.34615384615384615,0.2142792934873072,0.24326513634597235,0.0,0.7314721740217857,0.21968957482859564,-0.034387576291777314,0.6623736250728133,0.12707729368472198,hard,0,0
algotune/algotune-eigenvalues-real,algotune,algotune-eigenvalues-real,17,9,0.34615384615384615,0.25973034597747274,0.27299914022588034,0.0,0.7294627512250165,0.24933641598228176,0.04002144664406036,0.4509341041052009,0.1559477248912306,hard,0,0
algotune/algotune-eigenvectors-complex,algotune,algotune-eigenvectors-complex,13,13,0.5,0.023531313708684647,0.08151486182456767,0.0,0.3059070782129004,0.011765656854342324,0.14433756729740646,0.7216878364870323,0.08320921538492124,frontier,0,0
algotune/algotune-eigenvectors-real,algotune,algotune-eigenvectors-real,15,11,0.4230769230769231,0.15696901491272797,0.262016007707071,0.0,0.6726576299120925,0.09055904706503536,0.39161690221107837,0.9236614020363381,0.1640919832581675,hard,0,0
algotune/algotune-elementwise-integration,algotune,algotune-elementwise-integration,25,1,0.038461538461538464,0.10016118169741331,0.19374337845278986,0.0,0.628526928795684,0.0963088285552051,137.7284984199605,273.07923685475305,0.20582299257716055,hard,0,0
algotune/algotune-feedback-controller-design,algotune,algotune-feedback-controller-design,25,1,0.038461538461538464,0.5906458308790339,0.3391664142135846,0.0,0.8615031259626379,0.5984056596307196,-0.48497350678299667,0.8370616415350095,0.5945395568076212,medium,0,0
algotune/algotune-fft-cmplx-scipy-fftpack,algotune,algotune-fft-cmplx-scipy-fftpack,25,1,0.038461538461538464,0.4341895771986907,0.29941920934861577,0.0,0.745345803306266,0.4389838597389606,-0.1807119468915344,0.4441492243691048,0.6118569891373418,medium,0,0
algotune/algotune-fft-convolution,algotune,algotune-fft-convolution,25,1,0.038461538461538464,0.006407574194947363,0.028356433188339997,0.0,0.1450495164481579,0.0061611290336032335,0.2172744714640858,0.9815430654721479,0.10823331197844538,frontier,0,0
