benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
mmmlu,mmmlu/mmmlu-sw-ke-00135,mmmlu-sw-ke-00135,0.5931519052036844,0.40684809479631556,16,medium,0.6311308734151516,0.5885416875,0.4119195766532768
crustbench,crustbench/crustbench-rhbloom,crustbench-rhbloom,0.5931614864983898,0.40683851350161016,26,medium,0.5378205,0.5378205,0.3801865808724458
featurebench-modal,featurebench-modal/pytest-dev__pytest.68016f0e.test_local.40fb2f1f.lv1,pytest-dev__pytest.68016f0e.test_local.40fb2f1f.lv1,0.5933237245555092,0.4066762754444908,13,hard,0.1271358155559287,0.098717923076923,0.160988035989521
bfcl,bfcl/bfcl-live-simple-123-79-0,bfcl-live-simple-123-79-0,0.5958938702712275,0.40410612972877247,26,medium,0.323076923076923,0.323076923076923,0.3964338069761577
aider-polyglot,aider-polyglot/polyglot_javascript_poker,polyglot_javascript_poker,0.5962823012606063,0.40371769873939367,26,easy,0.8384615384615385,0.8384615384615385,0.2149721324997249
kumo,kumo/medicalenv-t12-a16-v1-s0,medicalenv-t12-a16-v1-s0,0.5988564794267316,0.4011435205732684,17,hard,0.1356058659318459,0.1617647058823529,0.3529411764705882
replicationbench,replicationbench/abacus__lattice_force_error,abacus__lattice_force_error,0.5989759246487986,0.40102407535120144,17,medium,0.3345733558101751,0.4029411764705882,0.4045587968011623
algotune,algotune/algotune-pde-burgers1d,algotune-pde-burgers1d,0.6002374827708301,0.3997625172291699,20,easy,0.7140246712723665,0.73,0.3536947836765479
aider-polyglot,aider-polyglot/polyglot_go_simple-linked-list,polyglot_go_simple-linked-list,0.6004377013527915,0.3995622986472085,26,medium,0.4230769230769231,0.4230769230769231,0.3974028108642919
mmmlu,mmmlu/mmmlu-yo-ng-00149,mmmlu-yo-ng-00149,0.6011401821460263,0.39885981785397373,18,easy,0.8063487946713841,0.8453703888888888,0.245942740319354
mmau,mmau/8c63d22f-b37e-4873-aef6-c6b44bbc36e6,8c63d22f-b37e-4873-aef6-c6b44bbc36e6,0.6025863366617346,0.39741366333826544,20,medium,0.4907744351619513,0.5299999999999999,0.3809199390948181
replicationbench,replicationbench/ver_waves__gaia_breathing_typical,ver_waves__gaia_breathing_typical,0.6028380643228989,0.3971619356771011,14,medium,0.6575928174745305,0.6714285714285715,0.3431546328418376
strongreject,strongreject/strongreject_sexual_content_0005_pap_logical_appeal,strongreject_sexual_content_0005_pap_logical_appeal,0.6030002721573344,0.3969997278426656,20,saturated,0.97931802923224,0.97375,0.0682252702449759
